game,league,blueteam,redteam,golId,event1,event2,event3,event4,event5,event6,event7,event8,event9,event10,event11,event12,event13,event14,event15,event16,event17,event18,event19,event20,event21,event22,event23,event24,event25,event26,event27,event28,event29,event30,event31,event32,event33,event34,event35,event36,event37,event38
ESPORTSTMNT06_2260070,Turkey Academy,Galatasaray Academy,5 Ronin Academy,38765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2800397,VCS,Luxury Esports,CERBERUS Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT06_2260078,Turkey Academy,Fenerbahçe Academy,SuperMassive Blaze Academy,38766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT06_2260082,Turkey Academy,İstanbul Wildcats Academy,NASR eSports Turkey Academy,38767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2662207,SL,G2 Arctic,BISONS ECLUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT05_2560508,LFL,Misfits Premier,Vitality.Bee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT06_2260086,Turkey Academy,Team AURORA Academy,Galakticos Academy,38768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT06_2260088,Turkey Academy,Dark Passage Academy,Beşiktaş Academy,38769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2662245,SL,G2 Arctic,BISONS ECLUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT05_2560514,LFL,Misfits Premier,Vitality.Bee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2662258,SL,G2 Arctic,BISONS ECLUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT05_2560517,LFL,Misfits Premier,Vitality.Bee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2662280,SL,BISONS ECLUB,G2 Arctic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2662301,LMF,River Plate Gaming,Stone Movistar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2630880,LCSA,FlyQuest Academy,Wildcard Aces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2662308,LMF,Leviatan Esports,Pampas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2630904,LCSA,FlyQuest Academy,Wildcard Aces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2662319,LMF,9z Team,Undead Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2662325,SL,Club Deportivo Municipal,Diamond Doves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2630926,LCSA,TSM Academy,Maryville University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2662330,LMF,WAP Esports,KRÜ Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2672159,LVP DDH,Atheris Esports,Zylant Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2650987,LCSA,Maryville University,TSM Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2662334,LMF,EBRO,Malvinas Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2662336,SL,Club Deportivo Municipal,Diamond Doves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2650996,LCSA,TSM Academy,Maryville University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2672172,LVP DDH,Atheris Esports,Zylant Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2662338,LMF,Boca Juniors Gaming,Maycam Evolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2662339,SL,Diamond Doves,Club Deportivo Municipal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2672174,LVP DDH,Zylant Esports,Atheris Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2672179,LVP DDH,Atheris Esports,Zylant Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2662360,LCK CL,Liiv SANDBOX Challengers,KT Rolster Challengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2662375,LCK CL,Hanwha Life Esports Challengers,Nongshim RedForce Challengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2662373,LCK CL,Kwangdong Freecs Challengers,T1 Challengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2662403,LCK,T1,Liiv SANDBOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2672265,LJL,AXIZ,Sengoku Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2672267,LCK,Liiv SANDBOX,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2651111,PCS,Meta Falcon Team,Hurricane Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2672269,LJL,DetonatioN FocusMe,Burning Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2672271,LCK,T1,Liiv SANDBOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2800424,VCS,Burst The Sky Esports,Saigon Buffalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2651114,PCS,Frank Esports,Impunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2672279,LCK,Gen.G,KT Rolster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2800429,VCS,Saigon Buffalo,Burst The Sky Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2672285,LJL,Crest Gaming Act,Rascal Jester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2651119,PCS,J Team,Deep Cross Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2800436,VCS,Burst The Sky Esports,Saigon Buffalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2672307,LJL,Fukuoka SoftBank HAWKS gaming,V3 Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2672309,LCK,KT Rolster,Gen.G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2651128,PCS,CTBC Flying Oyster,SEM9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2800440,VCS,GAM Esports,SBTC Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2672315,LCK,Gen.G,KT Rolster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
